state,year,people
NAGALAND,2006,674
NAGALAND,2007,501
NAGALAND,2008,619
NAGALAND,2009,623
NAGALAND,2010,521
NAGALAND,2011,502
NAGALAND,2012,398
NAGALAND,2013,487
ORISSA,2001,11675
ORISSA,2002,12637
ORISSA,2003,12967
ORISSA,2004,13158
ORISSA,2005,13958
ORISSA,2006,14644
ORISSA,2007,15368
ORISSA,2008,14373
ORISSA,2009,13534
ORISSA,2010,12429
ORISSA,2011,12753
ORISSA,2012,12867
ORISSA,2013,14473
PONDICHERRY,2001,262
PONDICHERRY,2002,246
PONDICHERRY,2003,278
PONDICHERRY,2004,301
PONDICHERRY,2005,288
PONDICHERRY,2006,312
PONDICHERRY,2007,346
PONDICHERRY,2008,300
PONDICHERRY,2009,269
PONDICHERRY,2010,261
PONDICHERRY,2011,242
PONDICHERRY,2012,285
PONDICHERRY,2013,280
PUNJAB,2001,12054
PUNJAB,2002,12109
PUNJAB,2003,13232
PUNJAB,2004,15064
PUNJAB,2005,14678
PUNJAB,2006,15115
PUNJAB,2007,15972
PUNJAB,2008,16115
PUNJAB,2009,17854
PUNJAB,2010,17644
PUNJAB,2011,17821
PUNJAB,2012,23219
PUNJAB,2013,27449
RAJASTHAN,2001,12995
RAJASTHAN,2002,12386
RAJASTHAN,2003,12695
RAJASTHAN,2004,13171
RAJASTHAN,2005,12993
RAJASTHAN,2006,13983
RAJASTHAN,2007,14687
RAJASTHAN,2008,15520
RAJASTHAN,2009,17932
RAJASTHAN,2010,17194
RAJASTHAN,2011,18104
RAJASTHAN,2012,19351
RAJASTHAN,2013,19293
SIKKIM,2001,186
SIKKIM,2002,172
SIKKIM,2003,171
SIKKIM,2004,162
SIKKIM,2005,195
SIKKIM,2006,225
SIKKIM,2007,226
SIKKIM,2008,260
SIKKIM,2009,193
SIKKIM,2010,207
SIKKIM,2011,190
SIKKIM,2012,236
SIKKIM,2013,230
TAMILNADU,2001,21260
TAMILNADU,2002,21895
TAMILNADU,2003,22653
TAMILNADU,2004,21102
TAMILNADU,2005,20681
TAMILNADU,2006,18656
TAMILNADU,2007,16599
TAMILNADU,2008,16204
TAMILNADU,2009,14360
TAMILNADU,2010,13866
TAMILNADU,2011,13869
TAMILNADU,2012,13195
TAMILNADU,2013,14721
TRIPURA,2001,1040
TRIPURA,2002,1041
TRIPURA,2003,1401
TRIPURA,2004,1265
TRIPURA,2005,1410
TRIPURA,2006,1370
TRIPURA,2007,1317
TRIPURA,2008,1278
TRIPURA,2009,988
TRIPURA,2010,951
TRIPURA,2011,899
TRIPURA,2012,901
TRIPURA,2013,901
UTTAR PRADESH,2001,53296
UTTAR PRADESH,2002,52225
UTTAR PRADESH,2003,50531
UTTAR PRADESH,2004,51706
UTTAR PRADESH,2005,56718
UTTAR PRADESH,2006,66669
UTTAR PRADESH,2007,76180
UTTAR PRADESH,2008,80809
UTTAR PRADESH,2009,83805
UTTAR PRADESH,2010,82673
UTTAR PRADESH,2011,82383
UTTAR PRADESH,2012,80311
UTTAR PRADESH,2013,83518
UTTARANCHAL,2001,2290
UTTARANCHAL,2002,2359
UTTARANCHAL,2003,2431
UTTARANCHAL,2004,2365
UTTARANCHAL,2005,2350
UTTARANCHAL,2006,2644
UTTARANCHAL,2007,2709
UTTARANCHAL,2008,3234
UTTARANCHAL,2009,3507
UTTARANCHAL,2010,3543
UTTARANCHAL,2011,3261
UTTARANCHAL,2012,3535
UTTARANCHAL,2013,3845
WEST BENGAL,2001,12347
WEST BENGAL,2002,18743
WEST BENGAL,2003,16289
WEST BENGAL,2004,16319
WEST BENGAL,2005,18158
WEST BENGAL,2006,18193
WEST BENGAL,2007,18598
WEST BENGAL,2008,20230
WEST BENGAL,2009,17586
WEST BENGAL,2010,18519
WEST BENGAL,2011,19508
WEST BENGAL,2012,20431
WEST BENGAL,2013,22778
